Team,G,WL,FT,FTA,FTpct,FG3,FG3A,FG3pct,W,L
Lehigh (Patriot),31,17-14,369,457,80.7,288,850,33.9,17,14
Iowa St. (Big 12),32,22-10,468,583,80.3,282,860,32.8,22,10
Mercer (SoCon),28,12-16,296,373,79.4,133,349,38.1,12,16
Green Bay (Horizon),34,28-6,360,454,79.3,236,724,32.6,28,6
Colorado St. (Mountain West),32,20-12,353,446,79.1,259,694,37.3,20,12
Northern Colo. (Big Sky),31,13-18,424,536,79.1,191,585,32.6,13,18
Gonzaga (WCC),33,28-5,396,501,79,256,632,40.5,28,5
Murray St. (MVC),31,15-16,389,493,78.9,229,649,35.3,15,16
UT Martin (OVC),30,13-17,384,488,78.7,193,612,31.5,13,17
Fordham (Atlantic 10),32,19-13,280,356,78.7,243,734,33.1,19,13
William & Mary (CAA),31,18-13,364,463,78.6,226,700,32.3,18,13
Maryland (Big Ten),35,28-7,507,645,78.6,239,656,36.4,28,7
Middle Tenn. (C-USA),33,28-5,519,661,78.5,259,821,31.5,28,5
Omaha (Summit League),32,15-17,448,571,78.5,183,619,29.6,15,17
Seton Hall (Big East),34,19-15,404,515,78.4,194,627,30.9,19,15
Montana St. (Big Sky),31,20-11,443,565,78.4,167,545,30.6,20,11
Toledo (MAC),34,29-5,518,662,78.2,220,649,33.9,29,5
UCLA (Pac-12),37,27-10,473,607,77.9,245,814,30.1,27,10
Utah (Pac-12),32,27-5,529,680,77.8,265,752,35.2,27,5
Michigan (Big Ten),33,23-10,471,606,77.7,195,576,33.9,23,10
South Dakota (Summit League),30,14-16,418,538,77.7,250,697,35.9,14,16
Santa Clara (WCC),32,15-17,368,474,77.6,235,755,31.1,15,17
UC Santa Barbara (Big West),33,21-12,504,650,77.5,168,546,30.8,21,12
Purdue (Big Ten),30,19-11,351,453,77.5,213,645,33,19,11
Saint Louis (Atlantic 10),35,17-18,456,590,77.3,181,675,26.8,17,18
Montana (Big Sky),30,14-16,366,474,77.2,238,689,34.5,14,16
Marquette (Big East),32,21-11,314,407,77.1,158,513,30.8,21,11
Akron (MAC),30,17-13,424,550,77.1,185,618,29.9,17,13
Villanova (Big East),37,30-7,411,534,77,249,759,32.8,30,7
Saint Joseph's (Atlantic 10),31,20-11,363,472,76.9,188,575,32.7,20,11
Kansas St. (Big 12),36,19-17,579,753,76.9,265,898,29.5,19,17
Wyoming (Mountain West),34,23-11,376,489,76.9,213,647,32.9,23,11
Long Beach St. (Big West),33,23-10,312,406,76.8,190,616,30.8,23,10
New Mexico (Mountain West),34,21-13,398,518,76.8,290,849,34.2,21,13
Iowa (Big Ten),38,31-7,592,771,76.8,350,922,38,31,7
Miami (OH) (MAC),31,12-19,446,582,76.6,193,577,33.4,12,19
Louisiana Tech (C-USA),32,19-13,446,583,76.5,154,470,32.8,19,13
Indiana (Big Ten),32,28-4,458,599,76.5,229,621,36.9,28,4
St. John's (NY) (Big East),32,23-9,373,488,76.4,202,554,36.5,23,9
Rutgers (Big Ten),32,12-20,454,594,76.4,137,456,30,12,20
North Dakota (Summit League),32,19-13,482,631,76.4,190,603,31.5,19,13
Drexel (CAA),31,21-10,346,453,76.4,152,464,32.8,21,10
Eastern Ky. (ASUN),32,18-14,443,580,76.4,255,761,33.5,18,14
Kent St. (MAC),32,21-11,386,506,76.3,266,768,34.6,21,11
UNLV (Mountain West),34,31-3,466,611,76.3,223,664,33.6,31,3
Wisconsin (Big Ten),31,11-20,372,488,76.2,226,676,33.4,11,20
UAB (C-USA),31,14-17,438,576,76,253,770,32.9,14,17
Tennessee Tech (OVC),33,23-10,422,555,76,220,653,33.7,23,10
Virginia Tech (ACC),36,31-5,463,609,76,282,815,34.6,31,5
Kansas (Big 12),36,25-11,500,658,76,204,643,31.7,25,11
UC Irvine (Big West),32,25-7,390,515,75.7,188,618,30.4,25,7
UNCW (CAA),30,5-25,327,432,75.7,87,336,25.9,5,25
Illinois (Big Ten),32,22-10,341,451,75.6,229,616,37.2,22,10
Chattanooga (SoCon),33,20-13,374,496,75.4,183,578,31.7,20,13
Texas Tech (Big 12),35,20-15,542,719,75.4,207,646,32,20,15
Louisville (ACC),38,26-12,482,640,75.3,207,601,34.4,26,12
Western Ill. (Summit League),30,10-20,509,676,75.3,220,780,28.2,10,20
Coastal Carolina (Sun Belt),30,14-16,458,609,75.2,208,624,33.3,14,16
NIU (MAC),33,16-17,386,514,75.1,267,790,33.8,16,17
Eastern Wash. (Big Sky),30,19-11,354,472,75,206,614,33.6,19,11
Creighton (Big East),31,22-9,270,360,75,290,804,36.1,22,9
Ohio (MAC),29,6-23,332,443,74.9,220,746,29.5,6,23
Georgia Tech (ACC),30,13-17,367,490,74.9,129,466,27.7,13,17
Idaho (Big Sky),30,13-17,360,481,74.8,273,819,33.3,13,17
Pacific (WCC),32,15-17,412,551,74.8,174,534,32.6,15,17
Oklahoma (Big 12),33,26-7,465,622,74.8,296,825,35.9,26,7
Fresno St. (Mountain West),32,10-22,396,530,74.7,163,552,29.5,10,22
Cal St. Fullerton (Big West),30,14-16,378,506,74.7,146,423,34.5,14,16
Holy Cross (Patriot),33,24-9,353,473,74.6,163,514,31.7,24,9
Arkansas St. (Sun Belt),32,13-19,426,571,74.6,206,667,30.9,13,19
LMU (CA) (WCC),30,7-23,311,417,74.6,143,495,28.9,7,23
Southern Utah (WAC),33,23-10,428,574,74.6,166,559,29.7,23,10
UConn (Big East),37,31-6,454,610,74.4,224,627,35.7,31,6
Loyola Chicago (Atlantic 10),30,6-24,311,418,74.4,161,544,29.6,6,24
Central Conn. St. (NEC),29,7-22,301,405,74.3,142,512,27.7,7,22
Rider (MAAC),31,10-21,301,405,74.3,207,664,31.2,10,21
Wichita St. (AAC),33,18-15,468,630,74.3,126,432,29.2,18,15
Oregon St. (Pac-12),31,13-18,372,501,74.3,186,599,31.1,13,18
UMass Lowell (America East),27,5-22,314,423,74.2,124,452,27.4,5,22
Utah St. (Mountain West),30,4-26,383,516,74.2,194,697,27.8,4,26
Vanderbilt (SEC),31,12-19,426,574,74.2,205,596,34.4,12,19
Charlotte (C-USA),31,12-19,382,515,74.2,119,398,29.9,12,19
Richmond (Atlantic 10),32,21-11,349,471,74.1,261,747,34.9,21,11
Canisius (MAAC),30,9-21,329,445,73.9,184,663,27.8,9,21
FIU (C-USA),33,14-19,483,654,73.9,198,650,30.5,14,19
Oral Roberts (Summit League),31,12-19,432,585,73.8,230,732,31.4,12,19
Colgate (Patriot),30,16-14,288,390,73.8,99,389,25.4,16,14
Texas St. (Sun Belt),33,23-10,425,576,73.8,201,583,34.5,23,10
Florida St. (ACC),33,23-10,531,720,73.8,232,713,32.5,23,10
Illinois St. (MVC),33,24-9,441,598,73.7,244,665,36.7,24,9
Weber St. (Big Sky),31,6-25,463,628,73.7,118,447,26.4,6,25
Marist (MAAC),30,12-18,404,548,73.7,133,479,27.8,12,18
South Fla. (AAC),34,27-7,434,589,73.7,223,637,35,27,7
CSUN (Big West),31,7-24,366,497,73.6,145,423,34.3,7,24
Missouri (SEC),32,18-14,325,442,73.5,238,675,35.3,18,14
Purdue Fort Wayne (Horizon),33,14-19,342,466,73.4,253,839,30.2,14,19
Minnesota (Big Ten),30,11-19,386,526,73.4,176,551,31.9,11,19
Arizona St. (Pac-12),28,8-20,396,540,73.3,143,501,28.5,8,20
Washington St. (Pac-12),34,23-11,363,495,73.3,222,674,32.9,23,11
Portland St. (Big Sky),31,15-16,291,397,73.3,232,662,35,15,16
Stanford (Pac-12),35,29-6,458,625,73.3,240,694,34.6,29,6
La Salle (Atlantic 10),31,17-14,350,478,73.2,236,822,28.7,17,14
SIUE (OVC),31,9-22,429,586,73.2,184,619,29.7,9,22
North Ala. (ASUN),30,15-15,265,362,73.2,278,840,33.1,15,15
Stony Brook (CAA),31,18-13,360,492,73.2,204,655,31.1,18,13
Davidson (Atlantic 10),30,14-16,270,369,73.2,186,582,32,14,16
UTSA (C-USA),32,13-19,377,516,73.1,148,530,27.9,13,19
UTRGV (WAC),30,12-18,393,538,73,217,761,28.5,12,18
Oregon (Pac-12),35,20-15,417,571,73,278,761,36.5,20,15
Milwaukee (Horizon),30,11-19,268,367,73,155,557,27.8,11,19
Temple (AAC),29,11-18,335,459,73,174,562,31,11,18
Southern California (Pac-12),31,21-10,413,566,73,192,589,32.6,21,10
Massachusetts (Atlantic 10),34,27-7,383,525,73,235,662,35.5,27,7
Eastern Ill. (OVC),29,21-8,358,491,72.9,140,500,28,21,8
Kentucky (SEC),31,12-19,401,550,72.9,154,527,29.2,12,19
American (Patriot),31,9-22,312,428,72.9,119,447,26.6,9,22
Butler (Big East),30,11-19,277,380,72.9,227,604,37.6,11,19
Lamar University (Southland),32,20-12,338,464,72.8,206,563,36.6,20,12
Rice (C-USA),32,23-9,464,637,72.8,199,612,32.5,23,9
IUPUI (Horizon),30,17-13,383,526,72.8,254,730,34.8,17,13
Wofford (SoCon),32,22-10,358,492,72.8,268,820,32.7,22,10
BYU (WCC),33,16-17,315,433,72.7,203,555,36.6,16,17
Tulane (AAC),32,18-14,354,487,72.7,213,686,31,18,14
Nevada (Mountain West),31,10-21,415,571,72.7,158,504,31.3,10,21
Kansas City (Summit League),32,9-23,388,534,72.7,129,427,30.2,9,23
Longwood (Big South),30,9-21,409,563,72.6,117,438,26.7,9,21
Bryant (America East),30,9-21,313,431,72.6,183,570,32.1,9,21
Sacramento St. (Big Sky),33,25-8,350,482,72.6,293,762,38.5,25,8
Maine (America East),30,16-14,225,310,72.6,199,598,33.3,16,14
Furman (SoCon),30,11-19,412,568,72.5,162,550,29.5,11,19
UAlbany (America East),34,22-12,335,462,72.5,187,567,33,22,12
Drake (MVC),32,22-10,452,624,72.4,251,742,33.8,22,10
Syracuse (ACC),33,20-13,418,578,72.3,195,621,31.4,20,13
New Hampshire (America East),28,7-21,313,433,72.3,131,470,27.9,7,21
Bowling Green (MAC),38,31-7,472,653,72.3,268,813,33,31,7
ETSU (SoCon),35,25-10,365,505,72.3,228,703,32.4,25,10
Dayton (Atlantic 10),28,7-21,297,411,72.3,165,487,33.9,7,21
Washington (Pac-12),34,19-15,310,429,72.3,152,574,26.5,19,15
Alabama (SEC),31,20-11,333,461,72.2,281,728,38.6,20,11
Austin Peay (ASUN),29,17-12,363,503,72.2,120,364,33,17,12
Miami (FL) (ACC),35,22-13,433,600,72.2,184,596,30.9,22,13
Portland (WCC),32,23-9,394,546,72.2,194,599,32.4,23,9
UC Riverside (Big West),32,6-26,321,445,72.1,133,548,24.3,6,26
South Dakota St. (Summit League),35,29-6,556,771,72.1,236,679,34.8,29,6
Florida (SEC),34,19-15,488,677,72.1,215,663,32.4,19,15
Air Force (Mountain West),31,13-18,348,483,72,156,508,30.7,13,18
Harvard (Ivy League),32,20-12,327,454,72,239,652,36.7,20,12
Cleveland St. (Horizon),35,30-5,599,832,72,219,634,34.5,30,5
Alabama St. (SWAC),31,16-15,453,630,71.9,140,484,28.9,16,15
Boston U. (Patriot),33,24-9,354,493,71.8,214,561,38.1,24,9
Southeast Mo. St. (OVC),31,16-15,410,571,71.8,145,504,28.8,16,15
Mount St. Mary's (MAAC),31,12-19,280,390,71.8,226,785,28.8,12,19
Houston Christian (Southland),29,11-18,328,457,71.8,171,548,31.2,11,18
Northern Ariz. (Big Sky),35,21-14,432,602,71.8,279,872,32,21,14
James Madison (Sun Belt),34,26-8,487,679,71.7,220,714,30.8,26,8
Virginia (ACC),30,15-15,362,505,71.7,158,567,27.9,15,15
Georgia St. (Sun Belt),33,12-21,448,625,71.7,112,423,26.5,12,21
NC State (ACC),32,20-12,372,519,71.7,178,565,31.5,20,12
San Francisco (WCC),32,19-13,371,518,71.6,239,738,32.4,19,13
Valparaiso (MVC),30,7-23,350,489,71.6,220,677,32.5,7,23
Buffalo (MAC),28,12-16,317,443,71.6,156,455,34.3,12,16
Tennessee (SEC),37,25-12,538,752,71.5,198,630,31.4,25,12
Jacksonville (ASUN),28,11-17,276,386,71.5,153,515,29.7,11,17
Hawaii (Big West),33,18-15,385,539,71.4,218,739,29.5,18,15
Delaware (CAA),30,16-14,367,514,71.4,182,555,32.8,16,14
Duke (ACC),33,26-7,349,489,71.4,158,505,31.3,26,7
Southern Miss. (Sun Belt),31,21-10,397,557,71.3,118,387,30.5,21,10
Wright St. (Horizon),32,8-24,253,355,71.3,323,888,36.4,8,24
Evansville (MVC),30,11-19,491,689,71.3,157,522,30.1,11,19
FDU (NEC),32,24-8,337,473,71.2,230,670,34.3,24,8
FGCU (ASUN),37,33-4,354,497,71.2,425,1134,37.5,33,4
Hofstra (CAA),32,12-20,319,448,71.2,176,552,31.9,12,20
Tulsa (AAC),30,17-13,320,450,71.1,295,888,33.2,17,13
San Diego (WCC),33,19-14,444,625,71,106,398,26.6,19,14
California (Pac-12),30,13-17,323,455,71,191,562,34,13,17
Nebraska (Big Ten),33,18-15,408,575,71,271,830,32.7,18,15
Saint Mary's (CA) (WCC),31,13-18,312,440,70.9,208,633,32.9,13,18
Towson (CAA),33,21-12,424,598,70.9,177,573,30.9,21,12
Cal Poly (Big West),28,10-18,309,436,70.9,152,496,30.6,10,18
West Virginia (Big 12),31,19-12,355,501,70.9,202,719,28.1,19,12
Radford (Big South),31,14-17,335,473,70.8,179,570,31.4,14,17
Northern Ky. (Horizon),31,17-14,478,675,70.8,157,565,27.8,17,14
Pittsburgh (ACC),30,10-20,308,435,70.8,184,575,32,10,20
Manhattan (MAAC),33,16-17,402,568,70.8,126,485,26,16,17
Bradley (MVC),32,4-28,295,417,70.7,174,537,32.4,4,28
Loyola Maryland (Patriot),31,10-21,319,451,70.7,130,442,29.4,10,21
Georgia (SEC),34,22-12,437,618,70.7,119,392,30.4,22,12
Oklahoma St. (Big 12),33,21-12,386,546,70.7,271,740,36.6,21,12
LIU (NEC),29,7-22,277,392,70.7,174,610,28.5,7,22
UMBC (America East),29,14-15,296,419,70.6,122,425,28.7,14,15
Princeton (Ivy League),30,24-6,332,470,70.6,154,500,30.8,24,6
SMU (AAC),30,17-13,327,463,70.6,112,408,27.5,17,13
Ball St. (MAC),35,26-9,452,640,70.6,290,831,34.9,26,9
Lafayette (Patriot),29,10-19,238,337,70.6,132,494,26.7,10,19
UTEP (C-USA),32,20-12,473,671,70.5,173,576,30,20,12
Liberty (ASUN),33,24-9,344,488,70.5,224,649,34.5,24,9
Ohio St. (Big Ten),36,28-8,506,718,70.5,258,771,33.5,28,8
San Diego St. (Mountain West),34,23-11,365,518,70.5,186,525,35.4,23,11
Notre Dame (ACC),33,27-6,486,690,70.4,144,469,30.7,27,6
